使用说明：本库仅提供非物质文化遗产的灵感索引与搜索方向（短代码、关键词、情绪标签）。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制库内任何描述作为最终输出。

主规则能够解析 [非遗] @京剧 | 看点 | 视觉关键词 | 情绪关键词 | 关联规则


[非遗] @京剧 | 生旦净丑，脸谱红忠白奸，靠旗水袖，厚底靴，点翠头面 | 红、白、黑、金，勾脸，京胡，锣鼓，传统戏台 | 华美、威严、戏剧性 | 24,161,163
[非遗] @昆曲 | 水磨腔，素雅淡妆，褶子水袖，团扇折扇，园林背景 | 淡粉、白、青绿，笛子，古琴，留白意境 | 婉约、典雅、空灵 | 24,22,163
[非遗] @越剧 | 女小生，改良收腰轻纱，淡妆，小生折扇，花旦水袖 | 月白、粉蓝、淡紫，江南水乡，小桥流水 | 柔美、婉转、才子佳人 | 24,161,163
[非遗] @黄梅戏 | 碎花头巾，蓝印花布围裙，竹篮，清新活泼 | 蓝、白、粉，徽州民居，锣鼓欢快 | 明快、质朴、生活化 | 24
[非遗] @豫剧 | 粗犷豪放，红脸黑脸，厚底靴，大靠，穆桂英挂帅 | 红、黑、金，梆子，大锣大鼓，帅字旗 | 豪迈、雄浑、慷慨 | 24,161,162
[非遗] @川剧 | 变脸多层脸谱，吐火，褶子丑角，灯调，高腔 | 红、蓝、金、黑，舞台烟雾，抓拍动态 | 神秘、热烈、诡谲 | 24,22,162
[非遗] @粤剧 | 华丽珠片戏服，水钻头饰，长水袖，岭南庭园 | 粉、金、银，椰胡，卜鱼，月光 | 华丽、柔美、岭南风情 | 24,161,163
[非遗] @秦腔 | 高亢激昂，硬靠厚底靴，黑白脸谱，红生关公 | 红、黑、白、绿，黄土高原，硬光 | 粗犷、悲壮、苍凉 | 24,162,22
[非遗] @晋剧 | 中路梆子，帽翅功，翎子功，山西民居砖雕 | 白、蓝、金，耍翎子，逆光勾勒 | 古朴、灵动 | 24,162
[非遗] @河北梆子 | 慷慨激越，大靠女披，金铃，四击头锣鼓 | 红、黑、金，华山云海，激昂动态 | 激昂、悲壮 | 24,162
[非遗] @评剧 | 生活化，旗袍民国装，小市民趣味，莲花落 | 蓝、灰、白，老北京胡同，自然光 | 质朴、真实、幽默 | 24,39
[非遗] @吕剧 | 坠琴，山东方言，苦戏，农家女，柳条篮 | 蓝印花布，土坯墙，玉米串 | 质朴、亲切、苦情 | 24,39
[非遗] @二人台 | 对唱，扇子手绢，丑角彩扮，红绿花袄 | 红、绿、白，黄土高坡，窑洞 | 诙谐、生动、热烈 | 24
[非遗] @沪剧 | 西装旗袍，石库门，老上海风情，钢琴留声机 | 深色旗袍，暗调光影，老家具 | 海派、怀旧、细腻 | 24,39
[非遗] @锡剧 | 软糯江南，婉约，水乡服饰，蓝印花布，油纸伞 | 淡粉、蓝、白，水乡廊桥，柔光 | 典雅、温婉、抒情 | 24
[非遗] @扬剧 | 花鼓戏，香火戏，改良清装，苏北风情 | 青、白、红，扬州瘦西湖，飒爽 | 明快、豪放 | 24
