使用说明：本库仅提供小说剧情灵感索引与搜索关键词。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制本库中的任何描述作为最终输出。

格式统一为：[类型] @短代码 | 看点 | 视觉关键词 | 情绪关键词 | 

---

[仙侠] @叶凡金翅小鹏王 | 荒古圣体徒手接圣兵，万物母气鼎碎裂后逆袭 | 金色血液飞溅，大荒戟与鼎碎片齐飞 | 热血、暴烈 | 24
[仙侠] @叶凡火魔岭 | 借天劫屠圣，万丈雷海为刀 | 漆黑劫云，紫色雷海，叶凡穿行闪电 | 狂霸、冷酷 | 24
[仙侠] @叶凡背棺战王腾 | 一人一棺冲冠一怒为红颜 | 青铜棺椁星空纹路，真龙虚影对峙 | 血性、孤勇 | 24
[仙侠] @叶凡vs摇光圣子 | 荒古圣体对决先天圣体道胎 | 金色苦海与混沌剑气对冲 | 宿命、燃 | 24
[仙侠] @狠人大帝 | 史上最惊才绝艳女帝，鬼脸面具下的悲凉 | 白衣赤足，混沌青莲，面具似哭似笑 | 孤寂、悲凉 | 24
[仙侠] @无始钟 | 无始大帝镇压黑暗动乱 | 青铜大钟悬于九天，钟波镇压万古 | 苍凉、威严 | 24
[仙侠] @韩立付家堡 | 百年蛰伏后一夜血洗仇家 | 青竹蜂云剑如暴雨，血色染天 | 隐忍后的酣畅 | 24
[仙侠] @韩立vs玄骨上人 | 元婴修士底牌博弈，修罗圣火对决 | 幽绿鬼火与青色剑光交织 | 惊险、智斗 | 24
[仙侠] @韩立vs古魔 | 掌天瓶催熟灵药，以智破力 | 绿色光雨与魔焰对冲 | 绝望中的逆袭 | 24
[仙侠] @韩立飞升 | 凡人终成道祖，飞升仙界 | 金色光柱贯穿天地，万界膜拜 | 释然、圆满 | 24
[仙侠] @张小凡vs鬼王 | 道佛魔三家真法对决四灵血阵 | 噬魂棒黑气与诛仙剑阵七彩剑光 | 悲壮、宿命 | 24
[仙侠] @陆雪琪vs小白 | 天琊剑与九尾天狐的冰火对决 | 冰蓝剑气与白色狐火对冲 | 清冷、决绝 | 24
[仙侠] @碧瑶挡剑 | 痴情咒挡诛仙剑，绿光中的生死之恋 | 绿色光液化作萤火虫，映出回忆 | 虐恋、悲壮 | 2439
[仙侠] @陈平安vs搬山猿 | 泥瓶巷少年以拳撼巨猿 | 灰色拳罡与巨猿黑影，竹箱飞剑出鞘 | 不屈、燃 | 24
[仙侠] @左右出剑 | 剑道天才一剑破万法 | 白色剑光如匹练，斩断山河 | 孤傲、碾压 | 24
[仙侠] @陈平安独守剑气长城 | 万里送剑定十年之约，化为不人不鬼也要死守 | 白发剑袍，万剑悬空，青莲绽放砖石 | 悲壮、赤诚 | 24
[仙侠] @石昊vs石毅 | 重瞳对决至尊骨，宿命之战 | 金色骨文与重瞳神光对轰 | 宿命、燃 | 24
[仙侠] @石昊vs安澜 | 荒天帝跨界一战，独断万古 | 鲲鹏翅遮天，他化自在分身千万 | 悲壮、无敌 | 24
[仙侠] @石昊独战异域 | 少年荒天帝斩杀异域王者 | 撕开虚神界屏障，金色光雨飘散 | 热血、悲壮 | 24
